t_src_ms,t_host_s,seq,des_pitch,des_roll
15910,0.1090,0,-0.0,-0.0
16110,0.3120,1,-0.0,-0.0
16310,0.5150,2,-0.0,-0.0
16510,0.7190,3,-0.0,-0.0
16710,0.9060,4,-0.0,-0.0
16910,1.1090,5,-0.0,-0.0
17110,1.3120,6,-0.0,-0.0
17310,1.5150,7,-0.0,-0.0
17510,1.7190,8,-0.0,-0.0
17710,1.9060,9,-0.0,-0.0
17910,2.1090,10,-0.0,-0.0
18110,2.3120,11,-0.0,-0.0
18310,2.5150,12,-0.0,-0.0
18510,2.7190,13,-0.0,-0.0
18710,2.9060,14,-0.0,-0.0
18910,3.1090,15,-0.0,-0.0
19110,3.3120,16,-0.0,-0.0
19310,3.5150,17,-0.0,-0.0
19510,3.7190,18,-0.0,-0.0
19710,3.9060,19,-0.0,-0.0
19910,4.1090,20,-0.0,-0.0
20110,4.3120,21,-0.0,-0.0
20310,4.5150,22,-0.0,-0.0
20510,4.7190,23,-0.0,-0.0
20710,4.9060,24,-0.0,-0.0
20910,5.1090,25,-0.0,-0.0
21110,5.3120,26,-0.0,-0.0
21310,5.5150,27,-0.0,-0.0
21510,5.7190,28,-0.0,-0.0
21710,5.9060,29,-0.0,-0.0
21910,6.1090,30,-0.0,-0.0
22110,6.3120,31,-0.0,-0.0
22310,6.5150,32,-0.0,-0.0
22510,6.7190,33,-0.0,-0.0
22710,6.9060,34,-0.0,-0.0
22910,7.1090,35,-0.0,-0.0
23110,7.3120,36,-0.0,-0.0
23310,7.5150,37,-0.0,-0.0
23510,7.7190,38,-0.0,-0.0
23710,7.9060,39,-0.0,-0.0
23910,8.1090,40,-0.0,-0.0
24110,8.3120,41,-0.0,-0.0
24310,8.5150,42,-0.0,-0.0
24510,8.7190,43,-0.0,-0.0
24710,8.9060,44,-0.0,-0.0
24910,9.1090,45,-0.0,-0.0
25110,9.3120,46,-0.0,-0.0
25310,9.5150,47,-0.0,-0.0
25510,9.7190,48,-0.0,-0.0
25710,9.9060,49,-0.0,-0.0
25910,10.1090,50,-0.0,-0.0
26110,10.3120,51,-0.0,-0.0
26310,10.5150,52,-0.0,-0.0
26510,10.7190,53,-0.0,-0.0
26710,10.9060,54,-0.0,-0.0
26910,11.1090,55,-0.0,-0.0
27110,11.3120,56,-0.0,-0.0
27310,11.5150,57,-0.0,-0.0
