t_src_ms,t_host_s,seq,des_x,des_y,des_z
16230,0.4370,0,0.0,0.0,0.0
16730,0.9370,1,0.0,0.0,0.0
17230,1.4370,2,0.0,0.0,0.0
17730,1.9370,3,0.0,0.0,0.0
18230,2.4370,4,0.0,0.0,0.0
18730,2.9370,5,0.0,0.0,0.0
19230,3.4370,6,0.0,0.0,0.0
19730,3.9370,7,0.0,0.0,0.0
20230,4.4370,8,0.0,0.0,0.0
20730,4.9370,9,0.0,0.0,0.0
21230,5.4370,10,0.0,0.0,0.0
21730,5.9370,11,0.0,0.0,0.0
22230,6.4370,12,0.0,0.0,0.0
22730,6.9370,13,0.0,0.0,0.0
23230,7.4370,14,0.0,0.0,0.0
23730,7.9370,15,0.0,0.0,0.0
24230,8.4370,16,0.0,0.0,0.0
24730,8.9370,17,0.0,0.0,0.0
25230,9.4370,18,0.0,0.0,0.0
25730,9.9370,19,0.0,0.0,0.0
26230,10.4370,20,0.0,0.0,0.0
26730,10.9370,21,0.0,0.0,0.0
27230,11.4370,22,0.0,0.0,0.0
27730,11.9370,23,0.0,0.0,0.0
28230,12.4370,24,0.0,0.0,0.0
28730,12.9370,25,0.0,0.0,0.0
29230,13.4370,26,0.0,0.0,0.0
29730,13.9370,27,0.0,0.0,0.0
30230,14.4370,28,0.0,0.0,0.0
30730,14.9370,29,0.0,0.0,0.0
31230,15.4370,30,0.0,0.0,0.0
31730,15.9370,31,0.0,0.0,0.0
32230,16.4370,32,0.0,0.0,0.0
32730,16.9370,33,0.0,0.0,0.0
33230,17.4370,34,0.0,0.0,0.0
33730,17.9370,35,0.0,0.0,0.0
34230,18.4370,36,0.0,0.0,0.0
34730,18.9370,37,0.0,0.0,0.0
35230,19.4370,38,0.0,0.0,0.0
35730,19.9370,39,0.0,0.0,0.0
36230,20.4370,40,0.0,0.0,0.0
36730,20.9370,41,0.0,0.0,0.0
37230,21.4370,42,0.0,0.0,0.0
37730,21.9370,43,0.0,0.0,0.0
38230,22.4370,44,0.0,0.0,0.0
38730,22.9370,45,0.0,0.0,0.0
39230,23.4370,46,0.0,0.0,0.0
39730,23.9370,47,0.0,0.0,0.0
40230,24.4370,48,0.0,0.0,0.0
40730,24.9370,49,0.0,0.0,0.0
41230,25.4220,50,0.0,0.0,0.0
41730,25.9370,51,0.0,0.0,0.0
42230,26.4370,52,0.0,0.0,0.0
42730,26.9220,53,0.0,0.0,0.0
43230,27.4220,54,0.0,0.0,0.0
43730,27.9220,55,0.0,0.0,0.0
44230,28.4220,56,0.0,0.0,0.0
44730,28.9220,57,0.0,0.0,0.0
45230,29.4220,58,0.0,0.0,0.0
45730,29.9220,59,0.0,0.0,0.0
